
2024/05/23 (12:28:04) | ===> btop++ v.1.3.2
2024/05/23 (12:28:04) | INFO: Logger set to INFO
2024/05/23 (12:28:04) | INFO: Logger set to DEBUG
2024/05/23 (12:28:06) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/05/23 (12:28:07) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/05/23 (12:28:08) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/05/23 (12:28:09) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2024/05/23 (12:28:09) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/05/23 (12:28:10) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2024/05/23 (12:28:12) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2024/05/23 (12:28:17) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2024/05/23 (12:28:18) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2024/05/23 (12:28:19) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/05/23 (12:28:20) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2024/05/23 (12:28:21) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/05/23 (12:28:23) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2024/05/23 (12:28:25) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/05/23 (12:28:26) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/05/23 (12:28:27) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/05/23 (12:28:28) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/05/23 (12:30:06) | DEBUG: Writing new config file
2024/05/23 (12:30:06) | INFO: Quitting! Runtime: 00:03:15

2024/05/27 (06:57:05) | ===> btop++ v.1.3.2
2024/05/27 (06:57:05) | INFO: Logger set to DEBUG
2024/05/27 (06:57:05) | DEBUG: Using locale en_US.UTF-8
2024/05/27 (06:57:05) | INFO: Running on /dev/pts/5
2024/05/27 (06:57:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/27 (06:57:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/27 (06:57:05) | DEBUG: Shared::init() : Initialized.
2024/05/27 (06:57:05) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2024/05/28 (11:37:20) | ===> btop++ v.1.3.2
2024/05/28 (11:37:20) | INFO: Logger set to DEBUG
2024/05/28 (11:37:20) | DEBUG: Using locale en_US.UTF-8
2024/05/28 (11:37:20) | INFO: Running on /dev/pts/1
2024/05/28 (11:37:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/28 (11:37:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/28 (11:37:20) | DEBUG: Shared::init() : Initialized.
2024/05/28 (11:37:20) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/05/28 (11:37:42) | DEBUG: Writing new config file
2024/05/28 (11:37:42) | INFO: Quitting! Runtime: 00:00:22

2024/05/29 (08:35:35) | ===> btop++ v.1.3.2
2024/05/29 (08:35:35) | INFO: Logger set to DEBUG
2024/05/29 (08:35:35) | DEBUG: Using locale es_ES.UTF-8
2024/05/29 (08:35:35) | INFO: Running on /dev/pts/5
2024/05/29 (08:35:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/05/29 (08:35:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/05/29 (08:35:35) | DEBUG: Shared::init() : Initialized.
2024/05/29 (08:35:35) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/05/29 (08:35:58) | DEBUG: Writing new config file
2024/05/29 (08:35:58) | INFO: Quitting! Runtime: 00:00:23

2024/05/29 (11:48:57) | ===> btop++ v.1.3.2
2024/05/29 (11:48:57) | INFO: Logger set to DEBUG
2024/05/29 (11:48:57) | DEBUG: Using locale en_US.UTF-8
2024/05/29 (11:48:57) | INFO: Running on /dev/pts/1
2024/05/29 (11:48:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/29 (11:48:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/29 (11:48:57) | DEBUG: Shared::init() : Initialized.
2024/05/29 (11:48:57) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/05/29 (11:49:18) | DEBUG: Writing new config file
2024/05/29 (11:49:18) | INFO: Quitting! Runtime: 00:00:21

2024/06/03 (21:03:46) | ===> btop++ v.1.3.2
2024/06/03 (21:03:46) | INFO: Logger set to DEBUG
2024/06/03 (21:03:46) | DEBUG: Using locale en_US.UTF-8
2024/06/03 (21:03:46) | INFO: Running on /dev/pts/3
2024/06/03 (21:03:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/03 (21:03:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/03 (21:03:46) | DEBUG: Shared::init() : Initialized.
2024/06/03 (21:03:46) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/06/03 (21:04:11) | DEBUG: Writing new config file
2024/06/03 (21:04:11) | INFO: Quitting! Runtime: 00:00:25

2024/06/05 (10:22:21) | ===> btop++ v.1.3.2
2024/06/05 (10:22:21) | INFO: Logger set to DEBUG
2024/06/05 (10:22:21) | DEBUG: Using locale en_US.UTF-8
2024/06/05 (10:22:21) | INFO: Running on /dev/pts/4
2024/06/05 (10:22:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/05 (10:22:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (10:22:21) | DEBUG: Shared::init() : Initialized.
2024/06/05 (10:22:21) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/06/05 (14:17:40) | DEBUG: Writing new config file
2024/06/05 (14:17:40) | INFO: Quitting! Runtime: 03:55:19

2024/06/10 (08:26:30) | ===> btop++ v.1.3.2
2024/06/10 (08:26:30) | INFO: Logger set to DEBUG
2024/06/10 (08:26:30) | DEBUG: Using locale en_US.UTF-8
2024/06/10 (08:26:30) | INFO: Running on /dev/pts/2
2024/06/10 (08:26:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/10 (08:26:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/10 (08:26:30) | DEBUG: Shared::init() : Initialized.
2024/06/10 (08:26:30) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2024/06/13 (14:14:52) | ===> btop++ v.1.3.2
2024/06/13 (14:14:52) | INFO: Logger set to DEBUG
2024/06/13 (14:14:52) | DEBUG: Using locale en_US.UTF-8
2024/06/13 (14:14:52) | INFO: Running on /dev/pts/7
2024/06/13 (14:14:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/13 (14:14:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/13 (14:14:52) | DEBUG: Shared::init() : Initialized.
2024/06/13 (14:14:52) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/06/13 (14:23:00) | DEBUG: Writing new config file
2024/06/13 (14:23:00) | INFO: Quitting! Runtime: 00:08:08

2024/06/20 (14:57:34) | ===> btop++ v.1.3.2
2024/06/20 (14:57:34) | INFO: Logger set to DEBUG
2024/06/20 (14:57:34) | DEBUG: Using locale en_US.UTF-8
2024/06/20 (14:57:34) | INFO: Running on /dev/pts/2
2024/06/20 (14:57:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/20 (14:57:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/20 (14:57:34) | DEBUG: Shared::init() : Initialized.
2024/06/20 (14:57:34) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/06/20 (14:57:58) | INFO: Quitting! Runtime: 00:00:24

